Mod Loading Profiling Results:
   Constructing
      inventorytweaks: 22ms
      worldstripper: 19ms
      supersoundmuffler: 18ms
      mputils: 17ms
      journeymap: 17ms
      applecore: 17ms
      extraanvils: 16ms
      controlling: 15ms
      vanillasatchels: 13ms
      solcarrot: 13ms
      craftingstation: 12ms
      enderioinvpanel: 12ms
      modelloader: 12ms
      mpbasic: 12ms
      betterbuilderswands: 12ms
      enderiopowertools: 11ms
      forbidden_arcanus: 11ms
      enderiointegrationforestry: 11ms
      elevatorid: 11ms
      universaltweaks: 10ms
      inworldcrafting: 10ms
      immersivecables: 10ms
      ctgui: 9ms
      craftingtweaks: 9ms
      netherchest: 8ms
      stonechest: 8ms
      rsgauges: 8ms
      simple_trophies: 8ms
      vaultopic: 6ms
      xencraft: 6ms
      appleskin: 6ms
      loliasm: 5ms
      waddles: 5ms
      redstoneflux: 4ms
      jee: 4ms
      ftbbackups: 4ms
      defaultoptions: 4ms
      blockdrops: 4ms
      cucumber: 4ms
      teslacorelib_registries: 3ms
      waterstrainer: 3ms
      placebo: 3ms
      modnametooltip: 3ms
      enderioendergy: 3ms
      naturestopography: 3ms
      tipthescales: 3ms
      alib: 3ms
      reauth: 3ms
      autoreglib: 2ms
      morecharcoal: 2ms
      chameleon: 2ms
      bookshelf: 2ms
      bnbgaminglib: 2ms
      gunpowderlib: 2ms
      jeiintegration: 1ms
      loottweaker: 1ms
      ding: 1ms
      morpheus: 1ms
   Initialization
      astralsorcery: 861ms
      immersiveengineering: 614ms
      pyrotech: 606ms
      journeymap: 554ms
      inventorytweaks: 396ms
      enderio: 326ms
      magneticraft: 276ms
      mekanism: 225ms
      enderiomachines: 198ms
      tetra: 146ms
      endercore: 126ms
      naturesaura: 126ms
      mysticalworld: 117ms
      actuallyadditions: 113ms
      enderioinvpanel: 110ms
      appliedenergistics2: 104ms
      nuclearcraft: 103ms
      unidict: 98ms
      enderioconduits: 93ms
      alchemistry: 82ms
      industrialforegoing: 78ms
      vanillafoodpantry: 77ms
      roots: 74ms
      mputils: 72ms
      ae2stuff: 70ms
      enderiopowertools: 68ms
      mpbasic: 67ms
      inspirations: 62ms
      foamfix: 62ms
      quark: 43ms
      mousetweaks: 41ms
      chiselsandbits: 34ms
      cookingforblockheads: 33ms
      skyresources: 31ms
      craftingtweaks: 31ms
      carryon: 31ms
      tombstone: 28ms
      buildinggadgets: 24ms
      pickletweaks: 24ms
      waterstrainer: 23ms
      ftbutilities: 21ms
      artisanworktables: 21ms
      storagedrawers: 21ms
      universaltweaks: 20ms
      arcanearchives: 20ms
      hwell: 20ms
      smoothfont: 19ms
